id	title	subtitle	href	section	kind	status	order	weight	tags	location	thumbnail	sourceFolder	relatedLinks	notes
genuary	Genuary series	Daily prompt sketches for the January generative-art challenge.	prompt-collections/genuary/	prompt-collections	prompt-series	wip	10	4	p5;genuary;daily-prompts	internal-md				
100-gradients	100 Gradients - a study	Generated colour fields.	deep-studies/100-gradients/	deep-studies	deep-study	wip	20	3	gradients;colour;generative	internal-md				
particle-systems	Particle Systems	"Particles, motion, and emergent behaviour."	deep-studies/particle-systems/	deep-studies	deep-study	wip	30	3	p5;particles;motion	internal-md				
vera-molnar	Vera Molnar	A code-driven homage/study.	recreating-the-past/vera-molnar/	recreating-the-past	artist-study	TRUE	10	4	artist-study;geometry	internal-md				
circle-packing-library	Circle Packing Library	From Bookclubs to Libraries - circle packing with code.	tools-and-libraries/circle-packing-library/	tools-and-libraries	library	TRUE	10	4	p5;circle-packing;library	internal-md	assets/thumbs/circle-packing.jpg		GitHub repository|https://github.com/jesmehta/p5-circle-packing	
mandala-generator	Mandala Generator	A digital tool for dot-mandala patterns.	tools-and-libraries/mandala-generator/	tools-and-libraries	digital-tool	wip	60	4	p5;mandala;tool	internal-md				
lenticular-image-generator	Lenticular Image Generator	A digital tool for interleaving images into lenticular composites.	tools-and-libraries/lenticular-image-generator/	tools-and-libraries	digital-tool	wip	70	2	image;lenticular;tool	internal-md				
harmonics-dance-of-planets	The Dance of Planets	An orbital-harmonics visualization tool.	tools-and-libraries/harmonics-dance-of-planets/	tools-and-libraries	digital-tool	wip	80	2	orbits;harmonics;visualization	internal-md				
windows-of-berlin	Windows of Berlin	A generative study of Berlin's windows and facades.	generative-projects/windows-of-berlin/	generative-projects	generative-project	wip	90	3	p5;generative;architecture	internal-md				
image-filters	Image Filters	Pixel-level image filter and effect experiments.	image-experiments/image-filters/	image-experiments	image-filter	wip	100	1	image;filters;pixels	internal-md				
flow-fields	Flow Fields	A sketch family built on vector/flow fields.	sketch-families/flow-fields/	sketch-families	sketch-family	wip	110	2	p5;flow-fields;vectors	internal-md				
perlin-noise	Perlin Noise	A sketch family exploring noise as a generative driver.	sketch-families/perlin-noise/	sketch-families	sketch-family	wip	120	2	p5;perlin-noise;texture	internal-md				
plotter-work	Plotter Work	Pen-plotter drawings generated from code.	physical-outputs/plotter-work/	plotter-fabrication	plotter-work	wip	130	3	plotter;line-art;fabrication	internal-md				
code-to-fabrication	Code to Fabrication	Code-driven outputs translated into physical fabrication.	physical-outputs/code-to-fabrication/	code-to-objects	fabricated-output	wip	140	2	fabrication;laser-cut;3d-print	internal-md				
legacy-processing-archive	Legacy Processing Archive	"Older Processing (.pde) sketches, acknowledged but untouched."	archives/legacy-processing-archive/	legacy-processing	legacy-archive	wip	150	1	processing;archive;legacy	internal-md				
student-work	SSD Creative Coding Class highlights	Selected student work from the batch of 2025-26	https://jesmehta.github.io/SSD_Student_Work/ssd-creative-coding-2025-26/	studentWork	archive	TRUE	150	3	p5js;studentWork;interactive	external				
prompt-generator	Prompt Generator for SSD students	A prompt generator I created to help my students with some inspiration and direction	https://jesmehta.github.io/PromptGenerator/	tools-and-libraries	digital-tool	TRUE	150	2	p5js;studentWork;interactive	external				
oblique-strategies	Brian Eno's Oblique Strategy randomizer	A random instruction based on Brian Eno's Oblique Strategy cards	https://jesmehta.github.io/ObliqueStrategies/	tools-and-libraries	digital-tool	TRUE	160	2	p5js;studentWork;interactive	external				
